#{"t_start": 1760637054.371827, "env_id": "None"}
r,l,t
2.1,164,8335.203539
4.1000004,186,8339.508047
3.1,61,8341.776242
5.1000004,176,8346.014971
2.0999997,141,8349.797074
3.0999992,192,8354.031702
3.0999997,230,8358.978492
3.0999997,211,8484.344244
3.0999997,168,8488.24744
5.1000004,172,8492.353095
3.0999997,231,8497.245705
0.10000001,40,8499.766452
1.1,31,8501.781741
4.100001,291,8507.902918
3.0999997,154,8511.857467
6.100001,429,8519.750331
5.100001,289,8525.430331
2.1,72,8528.100714
5.100001,155,8652.897475
5.1000004,143,8656.55062
5.100001,227,8661.731084
3.1,295,8668.150535
4.1000004,191,8672.792759
4.100001,186,8676.97121
5.100001,286,8683.051975
0.100000024,45,8685.219857
4.100001,190,8689.845752
0.10000007,167,8693.857094
4.100001,175,8698.055746
0.10000004,182,8822.180813
6.100001,178,8826.422742
5.100001,403,8835.08161
3.0999994,151,8838.873784
5.1000004,173,8843.014791
4.1000004,193,8847.449209
5.100001,243,8852.587711
2.1,150,8856.31432
6.100001,190,8860.692101
4.100001,163,8864.559668
2.0999997,177,8987.379162
2.1,64,8989.843282
2.0999997,143,8993.486177
4.1000004,139,8997.122173
5.100001,173,9001.281371
5.1000004,157,9005.95381
0.10000004,27,9007.864565
4.1000004,220,9013.631918
3.1,189,9017.806501
3.1,165,9021.847805
1.0999998,182,9026.353613
4.100001,177,9031.448547
4.1000004,155,9035.098898
4.100001,183,9144.356677
3.0999997,174,9147.662945
4.100001,247,9151.398432
2.1,160,9154.38591
4.100001,177,9157.399572
4.1000004,270,9161.291855
4.100001,212,9164.511843
3.0999997,151,9167.736695
3.0999997,143,9170.379942
4.1,165,9173.315254
1.0999998,92,9175.356708
1.0999998,382,9278.793894
5.1000004,161,9281.572855
1.0999999,33,9283.327321
2.0999997,178,9286.169067
4.100001,164,9289.16994
2.1,181,9292.205364
4.1,202,9295.467272
2.1,150,9297.957474
1.0999999,155,9300.909479
2.0999997,106,9303.080009
6.100001,189,9306.131924
6.100001,232,9309.947507
0.100000024,224,9414.725594
4.100001,197,9418.047618
2.0999994,221,9421.688659
3.0999997,167,9424.902811
3.1,164,9432.439713
3.0999997,163,9438.362531
2.1,221,9443.108786
2.0999997,190,9447.281504
0.100000024,34,9449.24384
5.1000004,176,9454.532803
7.100001,216,9458.070064
4.100001,187,9461.260763
3.0999994,173,9563.725843
3.1,189,9566.877104
5.1000004,131,9569.333557
5.100001,153,9572.133996
4.100001,174,9575.167202
5.1000004,143,9577.652538
7.100001,188,9580.892503
2.0999997,164,9583.749878
5.1000004,193,9586.922164
4.1000004,202,9590.384392
4.100001,165,9593.182067
3.0999997,182,9596.244486
4.100001,172,9700.465354
1.0999998,149,9703.364176
4.1,174,9706.41551
4.1000004,173,9709.738603
2.1000004,285,9713.933925
5.1000004,266,9717.876137
2.1000009,392,9723.553113
0.100000024,143,9726.104293
5.1000004,174,9729.193468
5.100001,182,9833.132996
0.10000007,169,9836.060088
5.1000004,172,9838.862331
-0.9,36,9840.414137
0.10000001,141,9843.098172
0.100000024,196,9846.6302
3.1,279,9850.764071
3.0999997,207,9854.044395
3.0999997,169,9856.968487
5.1000004,188,9860.053957
5.100001,184,9863.128415
5.1000004,173,9866.121456
1.0999999,40,9867.647032
5.100001,275,9971.628069
0.10000002,43,9973.178987
1.0999999,153,9976.093036
2.1,185,9979.191169
5.1000004,137,9982.32271
6.1000004,207,9985.712436
4.1000004,203,9988.878591
4.1000004,206,9992.371587
3.1,171,9995.299033
4.100001,179,9998.136368
3.0999997,180,10001.349818
5.100001,228,10106.011023
3.0999997,138,10108.651862
3.0999997,225,10112.351654
1.0999999,49,10113.943812
2.0999997,56,10115.589299
5.100001,155,10118.240287
4.1000004,182,10121.481235
1.0999998,157,10124.325336
2.0999994,104,10126.442549
1.0999998,150,10130.160983
3.0999997,185,10133.206598
5.100001,179,10136.176962
6.1,167,10138.992523
0.10000007,189,10142.355638
4.1000004,173,10244.270698
2.1,158,10247.145966
4.100001,257,10250.928441
3.0999997,173,10254.163449
4.1,151,10256.692757
3.1,170,10259.79749
5.100001,120,10262.177826
4.100001,158,10265.125445
3.1,163,10267.993529
1.0999999,178,10270.978419
3.1,276,10275.018784
2.0999997,187,10377.45669
2.1,124,10380.253027
1.0999999,147,10382.806564
2.0999997,108,10385.075035
6.1000004,205,10388.204455
4.100001,202,10391.563261
4.100001,163,10394.327923
4.1000004,197,10398.278874
6.1000004,317,10406.719473
4.1000004,156,10410.980798
1.0999999,38,10412.473722
1.0999998,110,10414.771925
1.0999999,171,10417.687102
2.0999997,163,10518.877217
3.0999997,160,10521.76153
3.1000001,281,10525.877344
2.0999997,195,10529.016069
3.1,168,10531.98612
3.1,141,10534.576992
3.1,201,10537.716873
3.1,194,10540.965056
3.1,174,10544.04546
4.1,142,10546.623776
3.0999997,184,10549.773175
3.1,214,10653.168114
5.1000004,189,10656.639091
3.0999997,236,10660.511387
5.100001,204,10663.64573
6.100001,193,10666.936
2.0999994,167,10669.988381
5.100001,193,10673.107102
5.100001,200,10676.418211
4.1000004,84,10678.41301
3.1,138,10681.197364
3.1,136,10683.690662
3.1,144,10686.329834
2.1,162,10788.289608
4.1000004,191,10791.533517
2.0999997,160,10794.48176
4.100001,196,10797.54408
4.100001,159,10800.625528
5.100001,190,10804.780547
3.0999994,195,10807.995927
5.1000004,225,10812.147104
4.1000004,136,10814.765365
5.100001,236,10818.248246
2.0999997,233,10822.010206
0.100000024,34,10924.069566
1.0999998,176,10927.215833
2.0999997,156,10930.08154
4.100001,214,10933.642234
5.100001,205,10937.013503
4.100001,180,10939.919584
4.0999994,238,10943.737666
-0.90000004,38,10945.214463
3.1,259,10949.119724
4.100001,151,10951.915046
3.0999997,158,10954.720698
2.1,111,10957.084136
4.1000004,152,11058.671634
1.0999999,84,11060.856081
5.1000004,144,11063.372724
1.0999998,201,11066.706741
4.1,178,11069.792234
1.0999999,197,11073.076593
5.1000004,200,11076.375025
2.0999997,204,11079.711386
2.0999997,186,11082.842582
3.1,178,11085.934209
4.100001,210,11089.223491
3.0999997,161,11092.050446
2.0999997,164,11193.264303
6.100001,177,11196.528781
4.1000004,176,11199.408801
1.0999998,255,11203.369897
1.0999999,141,11206.038045
2.1,167,11208.970573
2.1,155,11211.997284
3.1,154,11214.693324
3.0999997,189,11217.844601
2.1,187,11221.110144
4.1000004,152,11223.75317
5.100001,242,11327.647093
2.0999997,67,11329.704849
5.1000004,133,11332.355605
2.1,162,11335.235762
4.100001,187,11338.550319
0.100000024,38,11340.34999
4.1000004,194,11343.432166
3.1,155,11346.393893
3.0999997,208,11349.674415
0.10000007,40,11351.536687
2.0999997,182,11354.463972
5.100001,222,11358.064919
3.0999997,174,11361.258642
1.0999998,152,11363.870316
3.1,188,11469.183584
1.0999999,50,11471.144865
4.100001,216,11474.494102
0.100000024,185,11477.620413
2.0999997,165,11480.560369
4.100001,209,11483.818299
-0.9,38,11485.299863
4.100001,172,11488.388679
1.0999998,384,11493.728162
2.1,135,11496.323
5.100001,316,11500.861428
3.0999997,161,11604.36648
2.0999997,197,11607.540857
4.100001,186,11610.851219
2.0999997,235,11614.532354
6.100001,253,11618.284467
3.1,189,11621.564901
3.0999997,186,11624.795559
